feature,mean_importance
years_at_residence,-0.014988752839005049
job,-0.005516464774190188
other_credit,-0.004075448091012057
housing,-0.0015273469190854704
employment_duration,2.050949243102007e-05
dependents,0.0019348118117274772
purpose,0.0019803916339736103
existing_loans_count,0.0025961139625551464
savings_balance,0.002613898867882236
age,0.00580343447671019
months_loan_duration,0.006563429491341944
percent_of_income,0.024007233250911742
phone,0.025178784877374703
amount,0.029154922576219544
credit_history,0.03132572433341261
checking_balance,0.07118246992341051
