feature,shap_importance
checking_balance,0.6303188683844383
percent_of_income,0.4229440113078162
credit_history,0.3602718861250998
amount,0.355035092753324
phone,0.2866479050805203
years_at_residence,0.19263843979246137
age,0.15461397589365186
savings_balance,0.13176623207041863
job,0.12632346664916214
existing_loans_count,0.10161006743683679
months_loan_duration,0.09240125441130516
housing,0.08876743747860126
other_credit,0.0854787320061514
purpose,0.07357872969760057
dependents,0.06896910725611057
employment_duration,0.022832631257566433
