feature,weight
intercept,-1.1972082394094665
checking_balance,-0.6718092507882408
months_loan_duration,0.10997438391002705
credit_history,-0.43324110263100885
purpose,-0.07559970018454854
amount,0.4112868176349141
savings_balance,-0.2155849689767495
employment_duration,0.02734320057838604
percent_of_income,0.4708493549295464
years_at_residence,0.21515338645691534
age,-0.19518112601456974
other_credit,-0.14837140444537847
housing,0.14614531222611618
existing_loans_count,0.12594829710433614
job,-0.18135773442984635
dependents,0.08209674006086963
phone,-0.2909837734367081
