feature,shap_importance
checking_balance,0.6419866624319398
percent_of_income,0.41257645282086786
amount,0.35209374889556155
phone,0.281539547937264
years_at_residence,0.18426169338462342
age,0.16246863644268522
savings_balance,0.12609242224181602
credit_history,0.11901643890839335
job,0.11263896300407962
months_loan_duration,0.08695989266066657
housing,0.08695637271557308
dependents,0.08505109295642532
other_credit,0.07119285240993416
existing_loans_count,0.07043561049342358
purpose,0.04977538558374489
employment_duration,0.018004971491589708
