feature,mean_importance
years_at_residence,-0.014526784318144581
job,-0.003981675123991524
other_credit,-0.0035466828873887968
housing,-0.0008962790587152547
employment_duration,-4.636071000829744e-06
purpose,0.0009818320689630733
existing_loans_count,0.001057764345954948
savings_balance,0.0013855509258803745
dependents,0.0026394256389642877
credit_history,0.00590563492347036
months_loan_duration,0.0060595555023089
age,0.007329049051784197
phone,0.02297828126928838
percent_of_income,0.024713666970267556
amount,0.02682687535490964
checking_balance,0.06998372933877199
