feature,mean_importance
purpose,-0.12489293408138832
years_at_residence,0.022092023062729636
credit_history,0.08671987042701942
savings_balance,0.17104342061565364
age,0.19314748631099582
employment_duration,0.23068805127401149
other_credit,0.2436030165468833
housing,0.28169773448958557
dependents,0.35468433614596756
percent_of_income,0.39978762700188686
job,0.40547328230908847
phone,0.44214791105795426
existing_loans_count,0.44832890444228796
months_loan_duration,0.7363249674595153
amount,0.942043822933058
checking_balance,1.5648645105872134
