feature,weight
intercept,-1.0194261125863517
checking_balance,-0.7334526116963664
months_loan_duration,0.23924619022217058
credit_history,0.16915904768836043
purpose,-0.03335673523804825
amount,0.16573344871882148
savings_balance,-0.08520720974583958
employment_duration,0.041705447522529054
percent_of_income,0.25434392668817773
years_at_residence,0.04956133299909553
age,-0.09264447755159355
other_credit,-0.08368172377520346
housing,0.13867812305696717
existing_loans_count,-0.014350556182984135
job,0.009724977393966858
dependents,0.04980464974191788
phone,-0.19093339219464944
