feature,mean_importance
job,-0.0001222625822909329
years_at_residence,0.0002742563548266963
employment_duration,0.0003107041286289247
purpose,0.0007488207492160504
existing_loans_count,0.0008519410133865035
dependents,0.0016574487558123296
other_credit,0.0038268805502748695
savings_balance,0.00406317359955497
age,0.004698055689470948
amount,0.005677017700583775
credit_history,0.00610563671817399
housing,0.006452120001675077
phone,0.010147988613174008
percent_of_income,0.014999391777074345
months_loan_duration,0.01694544377446554
checking_balance,0.07159408184115086
