feature,mean_importance
housing,0.0018213478171267617
existing_loans_count,0.0037283105166745377
years_at_residence,0.005646177094338079
dependents,0.008799425193875065
percent_of_income,0.008982940868866618
other_credit,0.012250110635658451
savings_balance,0.01229078307718361
age,0.013585482275982663
phone,0.01484107263378589
job,0.01800378731351159
purpose,0.018087355509988957
employment_duration,0.021142548714238252
credit_history,0.028556480443962806
amount,0.03503295237088165
months_loan_duration,0.05865115880003942
checking_balance,0.19990357844696877
