feature,mean_importance
housing,-0.04032711578095562
other_credit,-0.025704285424177374
job,-0.014957102038060287
purpose,-0.00698574283753044
existing_loans_count,-0.0064453076680050184
percent_of_income,-0.00576664242846332
phone,-0.0015200285006955472
age,0.002871618830562439
savings_balance,0.006016184195256713
years_at_residence,0.018684379066228506
employment_duration,0.020568539633912298
dependents,0.023768774173296547
credit_history,0.03754276455126411
amount,0.050660293596500726
months_loan_duration,0.07264793949503531
checking_balance,0.10491083504254466
