feature,mean_importance
age,-0.007212204470063743
purpose,-0.003526580328009321
employment_duration,-0.003083621510892054
savings_balance,-0.0022333784320981874
housing,-0.001339561817165058
job,-0.0008544735953636806
years_at_residence,-4.4408920985006264e-17
dependents,-4.4408920985006264e-17
other_credit,-2.2204460492503132e-17
phone,0.0
existing_loans_count,0.001109099795423596
credit_history,0.01022148451824898
percent_of_income,0.012529094529912133
amount,0.01745319279865738
months_loan_duration,0.024757893842739232
checking_balance,0.09279277891112017
